"std, preprod, prod"
STD22056,0,0
STD21089,0,0
std22029,2,2
STD22054,0,0
std22027,0,0
STD22052,0,0
STD21084,0,0
std22028,2,0
std22025,2,2
STD22050,0,0
std22026,0,0
std22022,0,0
STD22058,0,0
STD22045,0,0
STD22046,0,0
STD22043,0,0
STD22044,0,0
std22017,2,2
std22093,2,2
std22098,2,2
STD22049,0,0
STD22047,0,0
std22095,2,0
STD22048,0,0
std22007,2,2
STD22033,0,0
std22005,2,2
TCR21001,0,0
STD21060,0,0
std22081,2,2
std22082,2,2
std22080,2,0
std22089,2,2
std22001,2,2
std22087,2,2
STD22038,0,0
std22086,0,0
std22083,2,2
STD22036,0,0
STD22037,0,0
std22119,2,2
STD22023,0,0
STD22022,0,0
std22113,0,0
std22070,2,2
std22078,0,0
std22079,2,2
std22076,0,0
STD22029,0,0
STD22027,0,0
std22075,2,0
STD22028,0,0
std2019,2,2
STD22025,0,0
std22073,2,2
STD22026,0,0
std22108,2,2
STD22013,0,0
std22106,0,0
STD22098,0,0
std22105,2,0
std22069,2,2
std22103,2,2
STD22095,0,0
STD22093,0,0
std21092,2,0
std22100,0,2
std21099,2,2
std22101,0,0
std22068,2,2
std22065,2,2
STD22019,0,0
STD22016,0,0
std22064,0,0
STD22017,0,0
std22062,0,0
STD22001,0,0
STD22089,0,0
STD22087,0,0
STD22085,0,0
STD22086,0,0
std22058,2,2
STD22083,0,0
STD22081,0,0
STD22082,0,0
STD22080,0,0
std22056,2,0
std22054,0,0
STD22007,0,0
std22052,2,2
STD22005,0,0
std22050,0,0
STD22078,0,0
STD22079,0,0
STD22076,0,0
std22049,2,2
STD22074,0,0
STD22075,0,0
std22047,2,2
std22048,2,2
STD22073,0,0
STD22070,0,0
std22045,0,0
std22046,0,0
std22043,2,2
STD22113,0,0
STD22100,0,0
STD21099,0,0
STD22068,0,0
STD22101,0,0
STD22065,0,0
std22038,2,2
STD22064,0,0
std22036,2,2
std22037,0,0
STD22062,0,0
STD21092,0,0
STD22108,0,0
STD22106,0,0
std22033,2,2
STD22107,0,0
STD22104,0,0
STD22105,0,0
std21060,2,2
STD22069,0,0
